item_id,title
3930,जो लोग सुबह उठते ही आईना देखते है उन लोगों के साथ पूरे दिन होता है ये!
2389,झटपट वजन कम कर सकते हैं ये फूड!
3908,झारखंड में 50 लाख रुपए की संपत्ति खरीदने पर महिलाओं को देना होगा सिर्फ 1 रुपए रजिस्ट्री शुल्क
3784,टीम इंडिया का वो बॉलर जिसके हाथों में पोलियो था!
3458,ट्विंकल खन्ना पूरी तरह पागल हो चुकी है कोई उन्हें हॉस्पिटल में भर्ती कराओ!
3958,डांस में करियर बनाकर आसानी से कमा सकते हैं 50 हज़ार रुपए
456,ड्रग्स की आदत जब गौरी खान को ड्रग्स के नशे ने बना लिया था अपना शिकार !
1662,तलवे रगड़ने से दमकता है चेहरा और सुन्दर होती है त्वचा ! जानिये कैसे! 
4002,तस्वीरों में देखिए किस तरह से बॉलीवुड की ये हसीनाएं बाइक पर मचा रही हैं धूम !
2718,तांबे के बर्तन में रखा हुआ पानी पीने से होते हैं ये 10 गजब के फायदे ! 
2998,तो इस कारण अपने बेटे तैमूर को भारत में ही छोड़कर लंदन चली गई करीना ! 
3802,तो इस कारण से अमिताभ और शत्रुघन सिन्हा के ‘दोस्ताना’ में आई थी दरार !
4012,तो इसलिए नहीं की लता मंगेशकर ने शादी !
3248,तो इसलिए पाकिस्तान से लेकर भारत तक चर्चें हैं जान टीवी चैनल के ! 
3358,तो इसलिए पॉर्न फिल्मों को ब्लू फिल्म कहा जाता है ! 
3538,तो ये है वो वजह जिसके कारण हर दूसरी लड़की लगाती है लाल लिपस्टिक !
228,दवाईयों से नहीं यहां शरीर को आग लगाकर करते है बीमारियों का इलाज 
3616,दिमाग तेज करने के लिए स्वामी विवेकानंद ने बताया था यह असरदार तरीका
3300,दिल्ली की हर लड़की की रग-रग में बसती हैं ये बातें ! 
1135,दिशा पटानी के ऊप्स मोमेंट्स 
3588,दीपिका और कैटरीना की कोल्ड वार में इस बार बाजी मारने में कामयाब रही है ये अभिनेत्री !
3482,दीपिका रणवीर और रणबीर एक ही फिल्म में नजर आयेंगे दीपिका और उसके दोनों बोयफ्रेंड्स !
3120,दुनिया की 5 सबसे बड़ी बैंक लूट जिनके बारे में आपको जरुर जानना चाहिए ! 
3948,दुनिया की इस पहली पोर्न स्टार की कहानी इतनी भयानक है कि आपकी रूह कांप उठेगी !
2930,देश के अरबपति यहाँ मनाते हैं गर्मियों की छुट्टियाँ ! 
3364,देश के इन 10 चमत्कारिक हनुमान मंदिरों में भक्तों की हर मनोकामना होती है पूरी ! 
2686,धर्मेंद्र के घर आने पर ईशा और अहाना से ये काम कराती थी हेमा ! 
316,धीरुभाई अंबानी और रतन टाटा के जीवन से ये सबक सीखकर कोई भी बन सकता है उनकी तरह 
1898,धूम्रपान की लत पुरुषों के सेक्स पॉवर को खत्म कर देती है ! 
1214,नहाने के ये तरीक़े आपको देंगे ग्लैमरस लूक ! 
3740,नैचुरल तरीके से गालों पर डिंपल पाने के लिए करें ये काम !
3962,नौकरी छूटने का है डर तो करवायें ये जॉब इंश्‍योरेंस और हो जाये बेफिक्र !
3900,न्यूट्रिशियन साइंस की बढ़ रही है मांग इस कोर्स के बाद आप भी बन सकते हैं डॉक्टर !
3432,पति सुनील दत्त की लाई हुई साड़ियों को आखिर क्यों नहीं पहनती थी नरगिस !
3584,परीक्षाओं की कॉपी के चटपटे किस्से जिन्हें पढकर आपके होश उड़ जायेंगे !
3712,पहली मोहब्बत की ‘क्यों’ कभी खत्म नहीं होती मिठास?
3968,पाक से फाइनल पर विराट कोहली की दो टूक 'ये सामान्य मैच की तरह है'
3674,पाकिस्तान की ये हैं वो मशहूर हस्तियाँ जिन्होंने अपनी बहनों से रचाई शादी !
3434,पाकिस्तान में एक कुत्ते को सुनाई गई मौत की सजा और वजह भी थी हैरान करने वाली!
3574,पाकिस्तानी सेना से बदला लेने फौजी बने इस गांव के 810 लोग !
3780,पीएम मोदी के 9 रत्न जो पिछले तीन सालों से उनका काम देख रहे है!
3606,पुराने ज़माने में बिना इन्टरनेट भी की जाती थी चैटिंग ! जानिये कैसे !
3632,पुराने दौर में ऑडिशन के नाम पर की जाती थी लड़कियों के साथ ये शर्मनाक हरकतें !
3590,पेशा है बार्बर का मगर शौक से लगता है विजय माल्या !
3742,पैसों की तंगी में भी ऐसे करें फ्रेंड्स के साथ मस्ती !
3696,पॉर्न फिल्मों की लत से छुटकारा पाने के लिए आजमाये ये 10 उपाय
474,पोर्न हब इस देश की यानि पाकिस्तान की लडकियाँ पोर्न देखने में सबसे आगे है !
